# sform_id	pos	sforms
<EMPTY>		
263:青	名詞	青
46553:飽き	名詞	飽き
741:頭	名詞	頭
795:アップ	名詞	アップ
1663:勢い	名詞	勢い
2006:悪戯	名詞	いたずら,悪戯,イタズラ
2334:移動	名詞	移動
200692:一丁	名詞	一丁,いっちょ,いっちょう
2451:イベント	名詞	イベント
2995:ウエートレス	名詞	ウェイトレス,ウエイトレス,ウエートレス
2970:ウエスタン	名詞	ウエスタン
46982:五加	名詞	ウコギ,五加
3275:鬱	名詞	うつ,鬱
3537:うろ覚え	名詞	うろ覚え
3588:うんち	名詞	ウンチ,うんち
4353:オアシス	名詞	オアシス
5509:オーケストラ	名詞	オーケストラ
4611:大空	名詞	大空
310448:オタッキー	名詞	オタッキー
93682:乙	名詞	乙
5089:大人	名詞	大人
5235:思い切り	名詞	思いっきり,おもいっきり
5598:母	名詞	母,かあ
7871:カード	名詞	かーど
5736:開始	名詞	開始
5738:会社	名詞	会社
5917:買い物	名詞	買い物,買物
6306:歌劇	名詞	歌劇
6310:箇月	名詞	カ月,ヶ月,か月,ヵ月
6736:格好	名詞	格好,かっこ,カッコ
7241:体	名詞	体,身体
120103:喝	名詞	喝
7342:カレー	名詞	カレー
7640:感じ	名詞	感じ
7778:乾杯	名詞	乾杯
8545:傷口	名詞	傷口
10335:熊	名詞	熊,クマ,くま
11131:結婚	名詞	結婚
52234:賢者	名詞	賢者
11786:子	名詞	子
12884:子供	名詞	子ども,子供
13531:御飯	名詞	ご飯,ごはん
9952:ギョーザ	名詞	餃子
13334:語	名詞	語
12836:事	名詞	こと
13014:コミュニケーション	名詞	コミュニケーション
43509:コロン	名詞	コロン
13703:最高	名詞	最高
256612:ザッツ	名詞	ザッツ
14698:散歩	名詞	散歩
17702:爺	名詞	じい,爺
15251:仕事	名詞	仕事
17909:自体	名詞	自体
15556:質問	名詞	質問
172700:縛り	名詞	縛り
15735:仕舞い	名詞	しまい,終い
15946:社長	名詞	社長
18123:ジャム	名詞	ジャム
16837:小便	名詞	小便
17025:ショック	名詞	ショック
17530:新聞	名詞	新聞
19581:スーパー	名詞	スーパー
116088:スタッドレス	名詞	スタッドレス
19649:図星	名詞	図星
20726:絶対	名詞	絶対
20884:全部	名詞	全部
16223:終了	名詞	終了
21468:揃い	名詞	そろい,ぞろい,揃い
22566:種	名詞	種,タネ
23257:駄目	名詞	ダメ,だめ
23324:檀尻	名詞	だんじり
23443:力	名詞	力
23478:畜生	名詞	畜生,ちくしょう
23591:因み	名詞	ちなみ
23717:チャレンジャー	名詞	チャレンジャー
24066:蝶々	名詞	チョウチョ,ちょうちょ,蝶々
24279:賃貸	名詞	賃貸
24485:月	名詞	月
24973:帝国	名詞	帝国
25106:適当	名詞	適当
25870:父	名詞	父,とう
25933:投球	名詞	投球
27020:洞窟	名詞	洞窟
26203:通り	名詞	通り,とおり
26239:時々	名詞	時々,ときどき
26373:所	名詞	ところ
83537:トッピング	名詞	トッピング
26643:共	名詞	とも,共
45576:トリミング	名詞	トリミング
27823:無し	名詞	なし,無し
28187:兄	名詞	にい,にー,兄
28213:苦手	名詞	苦手
28455:日本	名詞	日本
28773:姉	名詞	姉,姐,ねえ
28988:ネーミング	名詞	ネーミング
28927:年	名詞	年
30509:婆	名詞	ばあ,婆,ばば
30572:馬鹿	名詞	バカ,馬鹿,ばか
29706:走り	名詞	走り
29608:博物	名詞	博物
66353:果てし	名詞	果てし,はてし
29962:花	名詞	花
29980:話	名詞	話
30708:バッファロー	名詞	バッファロー
30147:林	名詞	林
31098:日	名詞	日
31431:引っ越し	名詞	引越し,引っ越し,引越
31848:昼	名詞	昼
45512:ピープル	名詞	ピープル,Ｐｅｏｐｌｅ,ｐｅｏｐｌｅ
32015:ビジュアル	名詞	ビジュアル
32303:ファイト	名詞	ファイト
33364:部長	名詞	部長
32923:普通	名詞	普通
33799:プロフェッショナル	名詞	プロフェッショナル,Ｐｒｏｆｅｓｓｉｏｎａｌ,ｐｒｏｆｅｓｓｉｏｎａｌ
34183:ベッド	名詞	ベッド
33996:変	名詞	変
34340:ペン	名詞	ペン
34274:弁当	名詞	弁当
34947:本当	名詞	本当,ほんとう
35465:前	名詞	前
35573:枕	名詞	枕
35943:マニア	名詞	マニア
70817:丸見え	名詞	丸見え
236606:漫喫	名詞	漫喫
36514:道	名詞	道
36667:緑	名詞	緑
36678:皆	名詞	皆,みんな,みな
37216:無理	名詞	無理
37277:名産	名詞	名産
37542:面倒	名詞	面倒
37606:申し訳	名詞	申し訳
37795:勿体	名詞	もったい,勿体
37875:物	名詞	もの
37941:模様	名詞	模様
38127:焼き蕎麦	名詞	焼きそば,やきそば
38139:野球	名詞	野球
38542:遣る気	名詞	やる気
38952:ＵＲＬ	名詞	ＵＲＬ
38906:夢	名詞	夢
39257:汚れ	名詞	汚れ
39806:ランゲージ_language	名詞	ｌａｎｇｕａｇｅ,Ｌａｎｇｕａｇｅ
41327:笑い	名詞	笑い,笑
0:ｉＰｏｄ	固有名詞	ｉＰｏｄ
137865:しまむら	固有名詞	しまむら
22537:谷	固有名詞	谷
25554:ディズニー	固有名詞	ディズニー
0:ピカチュウ	固有名詞	ピカチュウ
35343:ポルトガル	固有名詞	ポルトガル
36406:ミスチル	固有名詞	ミスチル
771:彼方此方	代名詞	あちこち
894:貴方	代名詞	あなた
1270:彼れ_アリャ	代名詞	あれ
1945:何れ	代名詞	いずれ
2271:何時	代名詞	いつ
5201:御前	代名詞	お前,おまえ
7330:彼	代名詞	彼
48366:己等	代名詞	オイラ,おいら
5368:俺	代名詞	俺,おれ
